vehicle,location,price,closing date
2014 JEEP CHEROKEE 4X4,"Piti, GU"," 4,000 USD",03/09 11:00 AM CT
2013 FORD F250 4X4,"Piti, GU"," 3,200 USD",03/09 11:00 AM CT
2013 RAM 1500,"Piti, GU"," 8,000 USD",03/09 11:00 AM CT
2019 CHEVROLET C3500 AMBULANCE,"Billings, MT","25,000 USD",03/09 11:00 AM CT
2019 CHEVROLET C3500AMB,"Billings, MT","25,000 USD",03/09 11:00 AM CT
2019 FORD F350 AMBULANCE,"Billings, MT","25,000 USD",03/09 11:00 AM CT
2019 FORD F350 AMBULANCE,"Billings, MT","25,000 USD",03/09 11:00 AM CT
2014 INTERNATIONAL 66 CHILDREN TYPE C SCHOOL BUS,"Billings, MT"," 3,000 USD",03/09 11:00 AM CT
2014 FORD E350 WHEELCHAIR VAN,"Waverly, NE","10,600 USD",03/09 11:00 AM CT
2019 RAM PROMASTER 2500 WHEELCHAIR VAN,"Waverly, NE","20,100 USD",03/09 11:00 AM CT
2019 RAM PROMASTER 2500 WHEELCHAIR VAN,"Waverly, NE","20,000 USD",03/09 11:00 AM CT
2019 RAM PROMASTER 2500 WHEELCHAIR VAN,"Waverly, NE","20,200 USD",03/09 11:00 AM CT
2019 RAM PROMASTER 2500 WHEELCHAIR VAN,"Waverly, NE","20,000 USD",03/09 11:00 AM CT
2019 RAM PROMASTER 2500 WHEELCHAIR VAN,"Waverly, NE","20,000 USD",03/09 11:00 AM CT
2015 ELDORADO PASSPORT 28 PASS SHUTTLE BUS,"Waverly, NE","10,000 USD",03/09 11:00 AM CT
2014 DODGE GRAND CARAVAN PASSENGER VAN,"Waverly, NE"," 6,400 USD",03/09 11:00 AM CT
2015 RAM 1500 4X2 CREW CAB PICKUP,"Waverly, NE","13,000 USD",03/09 11:00 AM CT
2013 FORD F150 XL 4X4 SUPERCAB PICKUP,"Waverly, NE","13,400 USD",03/09 11:00 AM CT
2014 CHEVROLET G1500 AWD 8 PASS VAN,"Waverly, NE","25,099 USD",03/09 11:00 AM CT
2014 FORD F350 XL SUPERCAB 4X4 UTILITY BED TRUCK,"Waverly, NE","26,000 USD",03/09 11:00 AM CT
2012 MACK GU-713,"Three Rivers, TX","27,900 USD",03/09 11:00 AM CT
1988 KENWORTH TRUCK CO T800,"Muleshoe, TX","12,000 USD",03/09 12:01 PM CT
2006 FREIGHTLINER CORP FLD132,"Salt Flat, TX","15,109 USD",03/09 12:11 PM CT
2015 FORD MOTOR CO EXPEDITION,"Alamo, TX"," 6,867 USD",03/09 12:21 PM CT
2017 DODGE 2500 HD,"Indiahoma, OK"," 8,572 USD",03/09 12:31 PM CT
2008 FORD MOTOR CO EXPEDITION,"Bossier City, LA"," 5,000 USD",03/09 12:41 PM CT
2008 FORD MOTOR CO F350,"Oklahoma City, OK"," 8,085 USD",03/09 12:51 PM CT
2005 CHEVROLET K3500,"Oklahoma City, OK"," 6,450 USD",03/09 01:01 PM CT
2006 CHEVROLET K 1500 TRUCK,"Oklahoma City, OK"," 3,600 USD",03/09 01:11 PM CT
1983 GENERAL MOTORS CORP  N9500 N9E064 TRUCK T,"Salt Flat, TX"," 2,000 USD",03/09 01:21 PM CT
2016 CHEVROLET IMPALA LT--SOLD AS IS,"Fairfield, CA"," 3,210 USD",03/09 02:00 PM CT
2013 DODGE AVENGER--SOLD AS IS,"Fairfield, CA"," 2,200 USD",03/09 02:10 PM CT
2008 FORD FUSION SE--SOLD AS IS,"Fairfield, CA"," 2,000 USD",03/09 02:20 PM CT
2008 FORD FUSION SE--SOLD AS IS,"Fairfield, CA"," 1,510 USD",03/09 02:30 PM CT
2008 FORD TAURUS SEL--SOLD AS IS,"Fairfield, CA"," 2,510 USD",03/09 02:40 PM CT
2010 DODGE CHARGER SXT--SOLD AS IS,"Fairfield, CA"," 2,585 USD",03/09 02:50 PM CT
2009 JEEP PATRIOT SPORT--SOLD AS IS,"Fairfield, CA"," 1,250 USD",03/09 03:00 PM CT
2010 DODGE GRAND CARAVAN SE--SOLD AS IS,"Fairfield, CA"," 1,000 USD",03/09 03:10 PM CT
2009 MAZDA 6S SPORT--SOLD AS IS,"Fairfield, CA"," 1,000 USD",03/09 03:20 PM CT
2008 FORD TAURUS SEL--SOLD AS IS,"Fairfield, CA"," 1,210 USD",03/09 03:30 PM CT
2011 CHEVROLET IMPALA POLICE--SOLD AS IS,"Fairfield, CA",   750 USD,03/09 03:40 PM CT
2009 JEEP PATRIOT SPORT--SOLD AS IS,"Fairfield, CA"," 2,610 USD",03/09 03:50 PM CT
2009 PONTIAC G6 SEDAN--SOLD AS IS,"Fairfield, CA"," 1,010 USD",03/09 04:00 PM CT
2009 PONTIAC G6 SEDAN--SOLD AS IS,"Fairfield, CA",   735 USD,03/09 04:10 PM CT
2004 FORD CROWN VICTORIA--SOLD AS IS,"Fairfield, CA",   550 USD,03/09 04:20 PM CT
2004 FORD CROWN VICTORIA POLICE--SOLD AS IS,"Fairfield, CA"," 1,210 USD",03/09 04:30 PM CT
1990 DODGE DAKOTA,"Linneus, MO",   508 USD,03/09 04:30 PM CT
2015 TOYOTA HIGHLANDER LE--SOLD AS IS,"Fairfield, CA"," 7,898 USD",03/09 04:31 PM CT
1992 CHEROKEE JEEP,"Linneus, MO",   100 USD,03/09 04:40 PM CT
2014 DODGE DURANGO SXT--SOLD AS IS,"Fairfield, CA"," 5,000 USD",03/09 04:41 PM CT
"TRUCKS AND TRACK TRACTORS, WHEELED","Linneus, MO",   397 USD,03/09 04:41 PM CT
2014 DODGE DURANGO SXT--SOLD AS IS,"Fairfield, CA"," 5,200 USD",03/09 04:51 PM CT
"PASSENGER MOTOR VEHICLES, AUTO, CAR","Linneus, MO",    10 USD,03/09 04:51 PM CT
2012 TOYOTA SIENNA LE--SOLD AS IS,"Fairfield, CA"," 3,000 USD",03/09 05:01 PM CT
"PASSENGER MOTOR VEHICLES, AUTO, CAR","Linneus, MO",   200 USD,03/09 05:01 PM CT
2010 FORD EXPLORER,"Atoka, OK"," 5,485 USD",03/09 05:02 PM CT
2012 CHEVROLET EQUINOX 1LT--SOLD AS IS,"Fairfield, CA"," 3,510 USD",03/09 05:11 PM CT
2014 DODGE RAM,"Lincoln, NE"," 3,009 USD",03/09 05:12 PM CT
2010 FORD EXPLORER XLT--SOLD AS IS,"Fairfield, CA"," 4,010 USD",03/09 05:21 PM CT
2003 CHEVROLET CK25753,"Mandan, ND"," 4,577 USD",03/09 05:22 PM CT
2010 FORD EXPLORER--SOLD AS IS,"Fairfield, CA"," 2,000 USD",03/09 05:31 PM CT
2003 FORD F250,"Mandan, ND"," 2,085 USD",03/09 05:32 PM CT
1996 FORD ECONOLINE,"Mandan, ND",   464 USD,03/09 05:42 PM CT
2007 DODGE RAM 2500 ST,"Idaho Falls, ID",    75 USD,03/10 07:00 PM CT
2013 CHEVROLET SILVERADO 3500,"Thorne Bay, AK"," 4,725 USD",03/11 01:00 PM CT
2013 RAM RAM 2500ST DJ7L91,"Thorne Bay, AK"," 8,150 USD",03/11 01:10 PM CT
2013 RAM RAM 1500ST DS6L98,"Thorne Bay, AK"," 3,925 USD",03/11 01:20 PM CT
2012 RAM RAM 1500ST DS6L98,"Ketchikan, AK"," 3,000 USD",03/11 01:30 PM CT
2008 GLOBAL ELECTRIC MOTORCARS (GEM) ELXD,"Skagway, AK",   750 USD,03/11 01:31 PM CT
2012 FORD EDGE,"Saipan, MP"," 1,000 USD",03/11 04:00 PM CT
2011 FORD EXPLORER,"Saipan, MP"," 1,000 USD",03/11 04:10 PM CT
2011 FORD F-150 SUPER CAB,"Saipan, MP"," 1,000 USD",03/11 04:20 PM CT
2010 CHEVROLET IMPALA,"Jesup, GA"," 1,290 USD",03/11 05:00 PM CT
2021 VOLKSWAGEN ATLAS CRASH TESTE VEHICLE,"Troy, MI",   100 USD,03/11 05:00 PM CT
2009 FORD RANGER XLT,"Jesup, GA"," 1,500 USD",03/11 05:01 PM CT
2021 AUDI A4 CRASH TESTED VEHICLE,"Troy, MI",   100 USD,03/11 05:01 PM CT
2021 HYUNDAI ELANTRA SEL CRASH TESTED VEHICLE,"Troy, MI",   100 USD,03/11 05:02 PM CT
2021 CHEVROLET TAHOE CRASH TESTED VEHICLE,"Troy, MI",   100 USD,03/11 05:03 PM CT
2021 FORD F-150 CREW CAB CRASH TESTED VEHICLE,"Troy, MI",   100 USD,03/11 05:04 PM CT
2012 CODA ELECTRIC CRASH TESTED VEHICLE,"Burlington, WI",   100 USD,03/11 05:05 PM CT
2013 HONDA ACCORD LX CRASH TESTED VEHICLE,"Burlington, WI",   100 USD,03/11 05:06 PM CT
2011 FORD RANGER - A20919,"Miami, FL"," 2,000 USD",03/11 05:11 PM CT
2011 FORD RANGER - A20944,"Miami, FL",   920 USD,03/11 05:21 PM CT
2012 FORD F250,"Waupun, WI",   575 USD,03/11 06:00 PM CT
2013 DODGE RAM 1500,"Rhinelander, WI",   500 USD,03/11 06:01 PM CT
2008 CHEVROLET TRAILBLAZER SUV,"Des Plaines, IL"," 4,525 USD",03/11 06:02 PM CT
